Country,Afghanistan,Albania,Argentina,Australia,Austria,Bangladesh,Belarus,Belgium,Belize,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lebanon,Liberia,"Macedonia, FYR",Madagascar,Malawi,Malaysia,Mexico,Moldova,Mongolia,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russia,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
1.5 Government powers are subject to non-governmental checks,0.59,0.57,0.63,0.84,0.89,0.38,0.23,0.83,0.55,0.49,0.60,0.61,0.68,0.65,0.53,0.37,0.49,0.82,0.79,0.12,0.59,0.83,0.49,0.61,0.78,0.97,0.66,0.44,0.21,0.63,0.79,0.28,0.91,0.82,0.73,0.91,0.79,0.68,0.63,0.55,0.51,0.49,0.69,0.74,0.22,0.74,0.72,0.80,0.47,0.36,0.59,0.61,0.69,0.74,0.48,0.50,0.68,0.37,0.58,0.56,0.61,0.53,0.30,0.71,0.89,0.90,0.45,0.56,0.95,0.60,0.65,0.68,0.67,0.72,0.82,0.76,0.70,0.40,0.76,0.59,0.60,0.59,0.59,0.73,0.74,0.51,0.96,0.58,0.56,0.69,0.33,0.37,0.58,0.34,0.82,0.82,0.79,0.26,0.20,0.38,0.45,0.19
1.6 Transition of power is subject to the law,0.42,0.56,0.62,0.93,0.97,0.44,0.33,0.90,0.68,0.39,0.63,0.70,0.77,0.59,0.51,0.35,0.45,0.86,0.91,0.22,0.61,0.95,0.47,0.73,0.83,0.98,0.69,0.46,0.34,0.61,0.88,0.26,0.96,0.89,0.64,0.97,0.74,0.88,0.66,0.46,0.63,0.66,0.73,0.69,0.43,0.81,0.70,0.80,0.48,0.34,0.55,0.48,0.50,0.69,0.58,0.44,0.56,0.43,0.66,0.53,0.63,0.63,0.38,0.66,0.92,0.91,0.28,0.51,0.97,0.45,0.82,0.77,0.55,0.89,0.95,0.85,0.73,0.40,0.83,0.71,0.63,0.88,0.82,0.67,0.87,0.46,0.98,0.57,0.39,0.71,0.43,0.32,0.56,0.48,0.90,0.84,0.94,0.46,0.18,0.36,0.61,0.10
Factor 2: Absence of Corruption,0.23,0.36,0.48,0.84,0.83,0.27,0.50,0.81,0.48,0.34,0.43,0.65,0.46,0.39,0.38,0.27,0.25,0.81,0.72,0.51,0.43,0.68,0.40,0.54,0.66,0.96,0.36,0.45,0.47,0.43,0.78,0.47,0.90,0.75,0.73,0.83,0.44,0.54,0.33,0.34,0.84,0.50,0.40,0.37,0.42,0.59,0.53,0.86,0.59,0.45,0.27,0.30,0.37,0.28,0.52,0.35,0.36,0.63,0.33,0.28,0.42,0.49,0.42,0.39,0.89,0.90,0.37,0.27,0.93,0.35,0.49,0.34,0.49,0.65,0.71,0.82,0.52,0.44,0.53,0.41,0.30,0.93,0.60,0.51,0.69,0.46,0.91,0.37,0.52,0.50,0.49,0.27,0.34,0.82,0.82,0.75,0.78,0.35,0.27,0.46,0.40,0.28
2.1 Government officials in the executive branch do not use public office for private gain,0.34,0.41,0.45,0.80,0.82,0.33,0.46,0.80,0.44,0.43,0.40,0.67,0.43,0.37,0.40,0.29,0.30,0.76,0.74,0.47,0.47,0.66,0.41,0.46,0.60,0.92,0.38,0.52,0.48,0.49,0.71,0.44,0.90,0.74,0.72,0.79,0.42,0.53,0.40,0.39,0.80,0.43,0.41,0.50,0.45,0.55,0.51,0.78,0.57,0.46,0.33,0.36,0.37,0.33,0.56,0.36,0.32,0.54,0.41,0.31,0.45,0.55,0.52,0.47,0.85,0.87,0.46,0.26,0.94,0.41,0.57,0.48,0.53,0.59,0.68,0.77,0.46,0.42,0.52,0.43,0.33,0.92,0.52,0.46,0.65,0.49,0.88,0.40,0.52,0.52,0.50,0.25,0.36,0.82,0.81,0.73,0.77,0.29,0.33,0.54,0.41,0.25
2.2 Government officials in the judicial branch do not use public office for private gain,0.08,0.29,0.63,0.94,0.92,0.30,0.61,0.87,0.57,0.21,0.57,0.79,0.64,0.47,0.49,0.19,0.25,0.91,0.75,0.40,0.53,0.77,0.42,0.62,0.74,0.97,0.44,0.41,0.59,0.43,0.92,0.32,0.95,0.84,0.66,0.94,0.58,0.73,0.36,0.37,0.90,0.65,0.45,0.29,0.45,0.74,0.63,0.92,0.71,0.39,0.36,0.32,0.38,0.28,0.42,0.27,0.49,0.68,0.39,0.20,0.52,0.37,0.19,0.38,0.94,0.91,0.27,0.49,0.97,0.41,0.43,0.37,0.42,0.82,0.81,0.90,0.63,0.46,0.52,0.41,0.28,0.92,0.74,0.66,0.78,0.57,0.94,0.33,0.61,0.46,0.53,0.39,0.37,0.83,0.93,0.87,0.83,0.42,0.21,0.35,0.49,0.41
2.3 Government officials in the police and the military do not use public office for private gain,0.31,0.42,0.60,0.93,0.92,0.20,0.60,0.91,0.53,0.35,0.54,0.72,0.59,0.54,0.48,0.23,0.24,0.89,0.86,0.65,0.53,0.80,0.49,0.69,0.84,0.97,0.47,0.49,0.45,0.52,0.90,0.50,0.96,0.87,0.89,0.93,0.42,0.76,0.39,0.36,0.93,0.68,0.55,0.43,0.55,0.84,0.63,0.95,0.76,0.54,0.22,0.36,0.51,0.31,0.69,0.32,0.32,0.71,0.31,0.43,0.55,0.48,0.50,0.50,0.93,0.95,0.50,0.24,0.95,0.27,0.62,0.36,0.57,0.79,0.91,0.88,0.68,0.51,0.61,0.51,0.27,0.93,0.70,0.55,0.86,0.57,0.95,0.35,0.54,0.63,0.62,0.21,0.36,0.86,0.89,0.84,0.81,0.30,0.37,0.46,0.37,0.27
2.4 Government officials in the legislative branch do not use public office for private gain,0.18,0.31,0.23,0.70,0.65,0.24,0.34,0.66,0.39,0.35,0.22,0.44,0.18,0.17,0.14,0.36,0.19,0.70,0.52,0.51,0.17,0.49,0.30,0.39,0.46,0.96,0.14,0.38,0.38,0.26,0.57,0.61,0.79,0.55,0.67,0.65,0.34,0.15,0.17,0.25,0.76,0.23,0.20,0.28,0.24,0.24,0.36,0.78,0.32,0.40,0.17,0.15,0.20,0.19,0.41,0.44,0.29,0.56,0.22,0.18,0.16,0.55,0.46,0.20,0.83,0.86,0.25,0.09,0.87,0.29,0.34,0.16,0.44,0.41,0.45,0.72,0.29,0.34,0.48,0.30,0.30,0.95,0.42,0.36,0.46,0.22,0.84,0.39,0.41,0.40,0.30,0.21,0.28,0.79,0.64,0.59,0.71,0.39,0.19,0.48,0.34,0.19
Factor 3: Open Government ,0.43,0.52,0.56,0.74,0.72,0.47,0.46,0.70,0.55,0.45,0.59,0.57,0.56,0.54,0.43,0.36,0.39,0.75,0.68,0.43,0.56,0.68,0.40,0.58,0.64,0.78,0.52,0.51,0.42,0.51,0.72,0.39,0.76,0.69,0.61,0.72,0.56,0.57,0.48,0.49,0.63,0.51,0.57,0.58,0.35,0.61,0.51,0.72,0.46,0.44,0.46,0.50,0.45,0.48,0.57,0.47,0.50,0.43,0.56,0.55,0.46,0.51,0.32,0.56,0.76,0.81,0.44,0.46,0.81,0.45,0.55,0.55,0.54,0.67,0.64,0.73,0.53,0.49,0.52,0.51,0.39,0.63,0.60,0.62,0.62,0.53,0.81,0.51,0.49,0.51,0.45,0.41,0.56,0.48,0.74,0.73,0.65,0.32,0.38,0.43,0.48,0.32
3.1. Publicized laws and government data ,0.37,0.43,0.46,0.64,0.65,0.45,0.41,0.56,0.46,0.37,0.53,0.44,0.50,0.43,0.28,0.37,0.37,0.69,0.54,0.52,0.42,0.55,0.26,0.48,0.47,0.68,0.40,0.47,0.43,0.34,0.62,0.41,0.70,0.55,0.51,0.60,0.39,0.43,0.32,0.42,0.69,0.49,0.54,0.49,0.40,0.58,0.38,0.70,0.46,0.47,0.33,0.42,0.36,0.35,0.57,0.45,0.36,0.51,0.43,0.46,0.32,0.48,0.36,0.47,0.64,0.80,0.43,0.32,0.73,0.33,0.50,0.39,0.49,0.52,0.49,0.71,0.41,0.47,0.34,0.46,0.31,0.68,0.56,0.53,0.56,0.48,0.66,0.41,0.47,0.43,0.44,0.25,0.51,0.62,0.67,0.62,0.54,0.44,0.39,0.53,0.43,0.23
3.2 Right to information,0.39,0.53,0.57,0.70,0.71,0.51,0.50,0.70,0.51,0.43,0.68,0.49,0.56,0.58,0.38,0.46,0.40,0.68,0.69,0.53,0.56,0.64,0.38,0.63,0.70,0.72,0.57,0.54,0.41,0.55,0.77,0.45,0.71,0.70,0.70,0.68,0.49,0.62,0.52,0.47,0.69,0.55,0.50,0.56,0.46,0.59,0.48,0.75,0.44,0.56,0.41,0.56,0.38,0.44,0.61,0.46,0.38,0.46,0.61,0.55,0.52,0.48,0.39,0.50,0.75,0.82,0.35,0.43,0.77,0.41,0.48,0.55,0.57,0.72,0.64,0.75,0.45,0.58,0.54,0.54,0.40,0.58,0.60,0.60,0.58,0.57,0.86,0.44,0.43,0.50,0.52,0.43,0.59,0.47,0.73,0.70,0.58,0.21,0.38,0.43,0.53,0.40
3.3 Civic participation,0.59,0.59,0.62,0.80,0.83,0.49,0.36,0.79,0.63,0.51,0.58,0.72,0.62,0.62,0.57,0.42,0.51,0.81,0.73,0.21,0.58,0.76,0.56,0.63,0.75,0.89,0.62,0.46,0.52,0.57,0.75,0.30,0.83,0.77,0.66,0.85,0.73,0.63,0.59,0.54,0.52,0.51,0.65,0.68,0.25,0.69,0.65,0.75,0.43,0.35,0.58,0.57,0.60,0.66,0.58,0.54,0.71,0.37,0.56,0.57,0.60,0.51,0.28,0.67,0.82,0.83,0.48,0.55,0.89,0.56,0.63,0.65,0.62,0.72,0.76,0.70,0.65,0.42,0.73,0.55,0.58,0.55,0.62,0.70,0.70,0.54,0.90,0.58,0.52,0.65,0.34,0.42,0.65,0.36,0.79,0.80,0.78,0.24,0.34,0.37,0.47,0.23
3.4 Complaint mechanisms,0.36,0.52,0.57,0.82,0.70,0.44,0.55,0.74,0.59,0.51,0.57,0.63,0.57,0.53,0.48,0.18,0.28,0.80,0.76,0.46,0.69,0.76,0.40,0.57,0.66,0.84,0.51,0.56,0.34,0.58,0.76,0.40,0.79,0.72,0.57,0.74,0.63,0.60,0.50,0.53,0.63,0.51,0.58,0.57,0.28,0.58,0.53,0.70,0.50,0.38,0.49,0.46,0.46,0.47,0.54,0.42,0.54,0.37,0.62,0.63,0.39,0.56,0.26,0.60,0.82,0.81,0.52,0.52,0.86,0.48,0.60,0.63,0.48,0.73,0.67,0.75,0.61,0.47,0.46,0.48,0.24,0.70,0.63,0.63,0.64,0.52,0.83,0.59,0.52,0.46,0.50,0.54,0.48,0.47,0.78,0.77,0.71,0.39,0.42,0.39,0.49,0.41
Factor 4: Fundamental Rights,0.38,0.60,0.66,0.82,0.87,0.42,0.46,0.84,0.50,0.53,0.66,0.56,0.61,0.67,0.55,0.42,0.50,0.79,0.74,0.32,0.55,0.78,0.47,0.67,0.80,0.91,0.61,0.53,0.32,0.62,0.81,0.32,0.91,0.78,0.64,0.87,0.69,0.65,0.56,0.45,0.70,0.65,0.54,0.52,0.22,0.74,0.66,0.76,0.52,0.46,0.49,0.51,0.55,0.58,0.57,0.47,0.59,0.48,0.56,0.55,0.61,0.45,0.31,0.56,0.85,0.83,0.46,0.44,0.90,0.39,0.62,0.60,0.52,0.77,0.80,0.73,0.73,0.47,0.63,0.58,0.53,0.72,0.77,0.63,0.78,0.49,0.90,0.51,0.50,0.54,0.36,0.39,0.61,0.50,0.79,0.73,0.79,0.41,0.39,0.52,0.42,0.29
4.1 Equal treatment and absence of discrimination,0.31,0.60,0.62,0.63,0.72,0.54,0.76,0.78,0.46,0.40,0.62,0.58,0.60,0.67,0.66,0.44,0.47,0.65,0.51,0.49,0.54,0.59,0.62,0.64,0.77,0.81,0.60,0.52,0.56,0.55,0.84,0.44,0.87,0.69,0.75,0.76,0.69,0.62,0.39,0.35,0.80,0.61,0.53,0.49,0.42,0.65,0.64,0.77,0.67,0.55,0.52,0.52,0.44,0.48,0.66,0.65,0.49,0.60,0.40,0.62,0.59,0.67,0.42,0.48,0.83,0.79,0.46,0.52,0.84,0.39,0.60,0.54,0.52,0.73,0.73,0.65,0.74,0.56,0.73,0.57,0.53,0.85,0.79,0.53,0.72,0.59,0.75,0.49,0.60,0.54,0.53,0.52,0.64,0.68,0.70,0.55,0.74,0.69,0.64,0.65,0.42,0.36
4.2 The right to life and security of the person is effectively guaranteed,0.33,0.68,0.79,0.90,0.96,0.31,0.45,0.95,0.48,0.58,0.78,0.53,0.58,0.76,0.47,0.40,0.47,0.90,0.85,0.48,0.57,0.88,0.27,0.77,0.92,0.94,0.58,0.56,0.30,0.78,0.92,0.23,0.96,0.84,0.69,0.92,0.78,0.76,0.63,0.44,0.84,0.86,0.42,0.48,0.20,0.91,0.57,0.78,0.63,0.49,0.34,0.48,0.55,0.54,0.58,0.22,0.62,0.49,0.47,0.58,0.66,0.33,0.26,0.48,0.94,0.91,0.51,0.33,0.97,0.28,0.72,0.64,0.35,0.90,0.93,0.86,0.85,0.48,0.55,0.67,0.54,0.85,0.93,0.63,0.84,0.34,0.97,0.52,0.38,0.50,0.44,0.28,0.59,0.62,0.90,0.78,0.90,0.36,0.19,0.60,0.28,0.28
4.3 Due process of law and rights of the accused,0.27,0.51,0.54,0.80,0.87,0.31,0.50,0.77,0.28,0.43,0.64,0.54,0.36,0.56,0.41,0.30,0.37,0.74,0.62,0.48,0.42,0.74,0.33,0.62,0.80,0.89,0.44,0.51,0.28,0.42,0.77,0.38,0.92,0.73,0.55,0.83,0.47,0.58,0.47,0.28,0.79,0.64,0.39,0.35,0.37,0.69,0.44,0.69,0.56,0.44,0.26,0.35,0.43,0.30,0.47,0.34,0.34,0.56,0.36,0.37,0.44,0.26,0.29,0.38,0.82,0.82,0.35,0.29,0.91,0.27,0.41,0.46,0.39,0.71,0.71,0.78,0.64,0.40,0.43,0.49,0.38,0.74,0.74,0.50,0.77,0.43,0.90,0.29,0.35,0.49,0.41,0.29,0.43,0.70,0.82,0.68,0.59,0.35,0.22,0.52,0.35,0.27
4.4 Freedom of opinion and expression is effectively guaranteed,0.60,0.58,0.64,0.85,0.89,0.38,0.23,0.84,0.56,0.49,0.61,0.61,0.69,0.66,0.54,0.37,0.49,0.82,0.79,0.13,0.59,0.83,0.50,0.63,0.78,0.97,0.67,0.44,0.22,0.63,0.79,0.28,0.91,0.82,0.74,0.91,0.79,0.69,0.63,0.57,0.52,0.50,0.69,0.74,0.22,0.75,0.73,0.80,0.48,0.36,0.60,0.61,0.69,0.74,0.49,0.51,0.68,0.37,0.58,0.56,0.62,0.53,0.31,0.72,0.89,0.90,0.45,0.57,0.95,0.60,0.65,0.68,0.67,0.72,0.82,0.77,0.71,0.40,0.77,0.60,0.61,0.59,0.60,0.73,0.74,0.51,0.96,0.59,0.56,0.70,0.33,0.37,0.58,0.34,0.82,0.83,0.80,0.26,0.20,0.38,0.45,0.19
4.5 Freedom of belief and religion is effectively guaranteed,0.42,0.74,0.82,0.88,0.86,0.54,0.61,0.83,0.57,0.68,0.66,0.65,0.73,0.79,0.75,0.55,0.67,0.85,0.81,0.23,0.66,0.88,0.67,0.68,0.74,0.87,0.70,0.78,0.29,0.80,0.85,0.50,0.87,0.82,0.62,0.86,0.69,0.66,0.71,0.62,0.73,0.70,0.69,0.47,0.13,0.79,0.91,0.68,0.36,0.59,0.74,0.61,0.64,0.82,0.73,0.65,0.79,0.29,0.76,0.66,0.73,0.34,0.29,0.73,0.86,0.88,0.68,0.47,0.84,0.45,0.76,0.72,0.66,0.67,0.90,0.69,0.76,0.62,0.72,0.70,0.75,0.78,0.88,0.75,0.76,0.68,0.87,0.68,0.65,0.61,0.18,0.62,0.68,0.46,0.83,0.78,0.92,0.66,0.73,0.49,0.57,0.55
