Country,Afghanistan,Albania,Argentina,Australia,Austria,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lebanon,Liberia,"Macedonia, FYR",Madagascar,Malawi,Malaysia,Mexico,Moldova,Mongolia,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russia,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
1.5 Government powers are subject to non-governmental checks,0.60,0.55,0.63,0.86,0.92,0.40,0.27,0.82,0.45,0.57,0.76,0.74,0.66,0.51,0.40,0.46,0.80,0.76,0.08,0.59,0.44,0.61,0.76,0.95,0.67,0.51,0.43,0.62,0.79,0.26,0.90,0.82,0.64,0.90,0.80,0.75,0.64,0.50,0.72,0.68,0.74,0.23,0.72,0.68,0.80,0.46,0.34,0.58,0.61,0.76,0.74,0.52,0.42,0.58,0.37,0.65,0.51,0.63,0.55,0.30,0.68,0.89,0.91,0.48,0.55,0.94,0.65,0.58,0.69,0.66,0.68,0.79,0.75,0.67,0.38,0.68,0.60,0.64,0.51,0.69,0.72,0.74,0.62,0.96,0.58,0.60,0.62,0.40,0.35,0.51,0.33,0.82,0.78,0.80,0.14,0.28,0.35,0.43,0.16
1.6 Transition of power is subject to the law,0.44,0.51,0.67,0.94,0.99,0.41,0.34,0.88,0.46,0.63,0.77,0.83,0.62,0.59,0.37,0.34,0.88,0.91,0.23,0.68,0.49,0.77,0.84,0.98,0.67,0.50,0.39,0.64,0.88,0.28,0.95,0.94,0.55,0.95,0.80,0.90,0.73,0.62,0.83,0.74,0.68,0.40,0.78,0.72,0.79,0.39,0.36,0.48,0.51,0.54,0.70,0.70,0.41,0.52,0.57,0.68,0.55,0.60,0.71,0.39,0.60,0.91,0.93,0.31,0.49,0.96,0.50,0.82,0.78,0.54,0.89,0.94,0.86,0.69,0.37,0.76,0.74,0.64,0.83,0.80,0.71,0.89,0.51,0.99,0.57,0.48,0.63,0.56,0.42,0.49,0.50,0.90,0.76,0.94,0.42,0.20,0.48,0.62,0.15
Factor 2: Absence of Corruption,0.24,0.34,0.49,0.86,0.84,0.27,0.53,0.81,0.32,0.45,0.73,0.50,0.43,0.45,0.33,0.26,0.81,0.73,0.48,0.43,0.41,0.54,0.60,0.96,0.37,0.47,0.46,0.46,0.78,0.45,0.90,0.78,0.71,0.83,0.44,0.56,0.37,0.85,0.64,0.39,0.36,0.50,0.60,0.48,0.84,0.57,0.43,0.28,0.27,0.40,0.34,0.53,0.34,0.43,0.64,0.37,0.32,0.39,0.43,0.43,0.38,0.88,0.91,0.38,0.26,0.94,0.29,0.44,0.36,0.50,0.66,0.69,0.79,0.50,0.42,0.48,0.41,0.35,0.90,0.60,0.49,0.69,0.53,0.91,0.38,0.51,0.50,0.55,0.30,0.28,0.79,0.80,0.75,0.78,0.35,0.30,0.44,0.41,0.28
2.1 Government officials in the executive branch do not use public office for private gain,0.32,0.45,0.49,0.84,0.82,0.35,0.51,0.82,0.43,0.40,0.73,0.49,0.39,0.43,0.38,0.29,0.77,0.76,0.46,0.50,0.41,0.52,0.58,0.94,0.42,0.55,0.48,0.50,0.76,0.43,0.91,0.78,0.70,0.80,0.48,0.53,0.43,0.80,0.61,0.39,0.49,0.48,0.58,0.51,0.81,0.59,0.44,0.36,0.36,0.39,0.34,0.56,0.39,0.38,0.59,0.47,0.39,0.39,0.49,0.53,0.52,0.86,0.89,0.49,0.28,0.95,0.35,0.51,0.51,0.52,0.63,0.67,0.78,0.49,0.44,0.49,0.40,0.39,0.89,0.55,0.47,0.69,0.50,0.88,0.40,0.49,0.52,0.54,0.27,0.25,0.83,0.83,0.75,0.82,0.29,0.36,0.44,0.38,0.28
2.2 Government officials in the judicial branch do not use public office for private gain,0.11,0.25,0.56,0.94,0.88,0.29,0.56,0.86,0.23,0.52,0.75,0.64,0.46,0.54,0.22,0.31,0.89,0.75,0.34,0.49,0.36,0.56,0.71,0.95,0.46,0.35,0.50,0.46,0.90,0.35,0.90,0.83,0.59,0.93,0.56,0.64,0.39,0.87,0.69,0.46,0.34,0.51,0.76,0.60,0.82,0.69,0.40,0.39,0.22,0.46,0.44,0.43,0.36,0.57,0.66,0.36,0.24,0.47,0.37,0.17,0.35,0.90,0.90,0.28,0.46,0.92,0.41,0.42,0.35,0.41,0.78,0.73,0.80,0.59,0.41,0.43,0.41,0.32,0.84,0.69,0.61,0.73,0.56,0.96,0.38,0.61,0.52,0.62,0.42,0.41,0.79,0.85,0.81,0.78,0.40,0.24,0.29,0.49,0.42
2.3 Government officials in the police and the military do not use public office for private gain,0.37,0.37,0.61,0.92,0.91,0.19,0.64,0.92,0.30,0.62,0.68,0.64,0.56,0.52,0.19,0.24,0.86,0.86,0.62,0.56,0.52,0.67,0.80,0.97,0.46,0.58,0.48,0.59,0.90,0.48,0.96,0.87,0.86,0.91,0.41,0.77,0.48,0.91,0.78,0.48,0.37,0.60,0.82,0.61,0.91,0.69,0.49,0.23,0.35,0.50,0.34,0.71,0.37,0.43,0.69,0.31,0.41,0.55,0.49,0.54,0.44,0.94,0.95,0.48,0.22,0.95,0.25,0.62,0.38,0.58,0.81,0.84,0.91,0.66,0.50,0.55,0.53,0.32,0.88,0.63,0.54,0.88,0.68,0.95,0.38,0.56,0.50,0.65,0.25,0.34,0.78,0.89,0.87,0.80,0.37,0.39,0.46,0.39,0.25
2.4 Government officials in the legislative branch do not use public office for private gain,0.17,0.29,0.31,0.74,0.74,0.27,0.40,0.66,0.33,0.27,0.75,0.22,0.30,0.33,0.51,0.20,0.69,0.55,0.49,0.18,0.34,0.42,0.32,0.98,0.14,0.38,0.39,0.29,0.58,0.54,0.81,0.63,0.71,0.67,0.32,0.31,0.20,0.81,0.48,0.21,0.22,0.42,0.24,0.20,0.81,0.31,0.39,0.13,0.15,0.24,0.24,0.44,0.23,0.32,0.64,0.33,0.23,0.15,0.38,0.48,0.21,0.84,0.92,0.26,0.09,0.94,0.16,0.22,0.19,0.47,0.41,0.50,0.68,0.29,0.35,0.45,0.32,0.36,0.99,0.53,0.36,0.47,0.37,0.85,0.37,0.38,0.47,0.39,0.25,0.11,0.77,0.66,0.58,0.73,0.34,0.21,0.57,0.39,0.17
Factor 3: Open Government ,0.34,0.44,0.45,0.75,0.78,0.36,0.39,0.67,0.38,0.48,0.61,0.50,0.46,0.41,0.38,0.33,0.82,0.65,0.41,0.49,0.34,0.49,0.52,0.79,0.48,0.40,0.44,0.37,0.71,0.32,0.76,0.70,0.48,0.73,0.50,0.50,0.45,0.77,0.50,0.53,0.54,0.34,0.49,0.44,0.77,0.43,0.35,0.38,0.41,0.44,0.36,0.60,0.42,0.39,0.48,0.52,0.44,0.33,0.48,0.31,0.44,0.78,0.83,0.45,0.40,0.85,0.32,0.52,0.44,0.45,0.56,0.59,0.74,0.47,0.43,0.42,0.47,0.29,0.64,0.60,0.58,0.55,0.48,0.82,0.41,0.47,0.47,0.42,0.33,0.46,0.46,0.77,0.70,0.65,0.39,0.30,0.39,0.43,0.24
3.1. The laws are publicized and accessible,0.57,0.52,0.50,0.70,0.82,0.48,0.51,0.65,0.42,0.55,0.66,0.46,0.46,0.32,0.46,0.42,0.78,0.52,0.69,0.42,0.24,0.51,0.53,0.72,0.53,0.48,0.52,0.41,0.66,0.54,0.74,0.62,0.51,0.68,0.42,0.39,0.42,0.85,0.63,0.59,0.60,0.42,0.46,0.40,0.81,0.55,0.52,0.38,0.48,0.44,0.39,0.74,0.47,0.38,0.65,0.49,0.54,0.39,0.54,0.48,0.49,0.70,0.84,0.57,0.41,0.75,0.31,0.52,0.32,0.59,0.55,0.53,0.85,0.48,0.52,0.36,0.51,0.36,0.75,0.66,0.61,0.55,0.54,0.73,0.41,0.58,0.51,0.46,0.25,0.51,0.61,0.73,0.66,0.61,0.43,0.46,0.56,0.46,0.26
3.2 The laws are stable,0.25,0.47,0.49,0.79,0.89,0.29,0.43,0.79,0.32,0.50,0.60,0.48,0.44,0.46,0.43,0.33,0.86,0.84,0.48,0.45,0.39,0.54,0.55,0.87,0.58,0.31,0.43,0.42,0.77,0.18,0.83,0.68,0.44,0.80,0.58,0.49,0.52,0.90,0.49,0.50,0.53,0.44,0.53,0.53,0.78,0.45,0.37,0.37,0.45,0.55,0.22,0.65,0.66,0.38,0.60,0.61,0.37,0.35,0.40,0.24,0.39,0.86,0.85,0.47,0.46,0.90,0.30,0.66,0.47,0.44,0.53,0.52,0.75,0.50,0.52,0.49,0.51,0.16,0.81,0.56,0.60,0.56,0.57,0.88,0.30,0.40,0.61,0.55,0.31,0.53,0.66,0.74,0.75,0.71,0.55,0.23,0.45,0.37,0.28
3.3 Right to petition the government and public participation,0.48,0.35,0.45,0.69,0.83,0.41,0.33,0.65,0.45,0.42,0.80,0.45,0.48,0.44,0.40,0.31,0.81,0.48,0.24,0.52,0.42,0.38,0.46,0.76,0.37,0.47,0.51,0.41,0.66,0.35,0.69,0.74,0.46,0.72,0.57,0.41,0.46,0.56,0.48,0.58,0.63,0.28,0.42,0.41,0.70,0.39,0.25,0.40,0.34,0.37,0.49,0.52,0.31,0.50,0.46,0.45,0.36,0.26,0.53,0.24,0.46,0.76,0.77,0.53,0.45,0.75,0.37,0.43,0.44,0.44,0.53,0.61,0.65,0.43,0.28,0.48,0.42,0.42,0.57,0.50,0.61,0.53,0.51,0.77,0.58,0.54,0.41,0.35,0.42,0.36,0.41,0.77,0.71,0.64,0.28,0.34,0.40,0.49,0.20
3.4 Official information is available on request,0.06,0.43,0.37,0.82,0.58,0.27,0.28,0.59,0.33,0.44,0.40,0.59,0.47,0.44,0.21,0.27,0.84,0.76,0.23,0.57,0.32,0.55,0.52,0.82,0.42,0.36,0.28,0.25,0.73,0.22,0.79,0.78,0.51,0.71,0.42,0.73,0.40,0.75,0.40,0.45,0.38,0.22,0.56,0.43,0.81,0.34,0.27,0.35,0.38,0.40,0.33,0.49,0.26,0.29,0.21,0.53,0.51,0.30,0.43,0.27,0.44,0.78,0.86,0.23,0.29,0.98,0.30,0.49,0.53,0.35,0.62,0.69,0.71,0.49,0.40,0.33,0.46,0.23,0.44,0.69,0.51,0.56,0.31,0.89,0.36,0.35,0.36,0.34,0.34,0.44,0.17,0.83,0.68,0.63,0.31,0.18,0.17,0.40,0.20
Factor 4: Fundamental Rights,0.39,0.58,0.67,0.82,0.87,0.43,0.46,0.83,0.48,0.67,0.57,0.66,0.65,0.58,0.46,0.46,0.77,0.74,0.31,0.55,0.50,0.64,0.80,0.90,0.60,0.54,0.39,0.62,0.80,0.36,0.89,0.76,0.58,0.84,0.66,0.69,0.56,0.68,0.68,0.54,0.54,0.23,0.73,0.61,0.75,0.47,0.48,0.46,0.52,0.62,0.57,0.63,0.48,0.55,0.45,0.55,0.51,0.61,0.45,0.30,0.59,0.85,0.84,0.51,0.42,0.90,0.38,0.60,0.66,0.52,0.72,0.76,0.73,0.71,0.46,0.63,0.62,0.55,0.71,0.79,0.62,0.78,0.56,0.91,0.51,0.58,0.54,0.47,0.37,0.56,0.49,0.78,0.71,0.76,0.36,0.42,0.50,0.43,0.29
4.1 Equal treatment and absence of discrimination,0.28,0.67,0.66,0.65,0.74,0.55,0.71,0.79,0.47,0.68,0.51,0.66,0.70,0.72,0.55,0.50,0.62,0.60,0.53,0.54,0.66,0.68,0.77,0.83,0.60,0.56,0.54,0.60,0.85,0.51,0.87,0.66,0.76,0.78,0.65,0.64,0.44,0.77,0.58,0.56,0.51,0.46,0.61,0.66,0.78,0.66,0.58,0.48,0.56,0.51,0.48,0.70,0.67,0.58,0.70,0.43,0.62,0.62,0.61,0.41,0.60,0.79,0.80,0.58,0.53,0.87,0.39,0.66,0.55,0.56,0.71,0.71,0.70,0.73,0.59,0.61,0.66,0.54,0.80,0.69,0.52,0.73,0.62,0.77,0.59,0.59,0.63,0.58,0.45,0.62,0.58,0.71,0.56,0.69,0.65,0.59,0.62,0.49,0.34
4.2 The right to life and security of the person is effectively guaranteed,0.31,0.65,0.82,0.89,0.92,0.22,0.44,0.95,0.45,0.77,0.53,0.61,0.75,0.51,0.46,0.42,0.85,0.83,0.39,0.54,0.26,0.65,0.92,0.96,0.49,0.56,0.33,0.76,0.93,0.30,1.00,0.78,0.58,0.89,0.69,0.74,0.58,0.81,0.83,0.34,0.49,0.14,0.92,0.47,0.81,0.46,0.60,0.28,0.48,0.68,0.51,0.70,0.23,0.55,0.42,0.40,0.53,0.67,0.32,0.22,0.54,0.93,0.92,0.44,0.24,0.94,0.21,0.69,0.77,0.32,0.84,0.83,0.86,0.85,0.45,0.56,0.63,0.54,0.86,0.93,0.60,0.85,0.39,0.99,0.42,0.55,0.51,0.56,0.22,0.56,0.68,0.87,0.75,0.83,0.30,0.25,0.66,0.37,0.26
4.3 Due process of law and rights of the accused,0.31,0.44,0.47,0.76,0.86,0.30,0.43,0.77,0.35,0.64,0.58,0.37,0.47,0.37,0.38,0.31,0.74,0.61,0.46,0.43,0.33,0.59,0.78,0.93,0.46,0.42,0.28,0.46,0.77,0.39,0.90,0.71,0.55,0.78,0.41,0.52,0.45,0.77,0.49,0.38,0.35,0.34,0.66,0.39,0.67,0.50,0.45,0.33,0.33,0.44,0.34,0.55,0.38,0.33,0.50,0.30,0.35,0.43,0.30,0.27,0.40,0.83,0.82,0.36,0.22,0.91,0.27,0.38,0.53,0.38,0.64,0.65,0.77,0.62,0.37,0.43,0.57,0.36,0.81,0.77,0.45,0.78,0.45,0.91,0.37,0.42,0.41,0.50,0.31,0.38,0.66,0.77,0.62,0.54,0.33,0.24,0.48,0.33,0.25
4.4 Freedom of opinion and expression is effectively guaranteed,0.61,0.56,0.64,0.87,0.92,0.41,0.27,0.82,0.45,0.58,0.76,0.74,0.67,0.52,0.40,0.46,0.80,0.77,0.08,0.59,0.46,0.62,0.76,0.95,0.68,0.52,0.43,0.63,0.79,0.26,0.90,0.82,0.64,0.90,0.81,0.76,0.64,0.50,0.73,0.68,0.74,0.23,0.73,0.69,0.79,0.47,0.35,0.59,0.61,0.77,0.75,0.52,0.43,0.59,0.38,0.65,0.51,0.64,0.55,0.30,0.69,0.89,0.92,0.48,0.56,0.94,0.66,0.58,0.70,0.66,0.68,0.79,0.75,0.68,0.39,0.69,0.61,0.65,0.51,0.70,0.72,0.74,0.62,0.96,0.59,0.60,0.62,0.40,0.35,0.52,0.33,0.82,0.79,0.80,0.15,0.28,0.35,0.43,0.16
4.5 Freedom of belief and religion is effectively guaranteed,0.36,0.77,0.80,0.83,0.84,0.56,0.63,0.80,0.64,0.69,0.60,0.81,0.80,0.79,0.52,0.61,0.84,0.83,0.20,0.67,0.86,0.72,0.80,0.85,0.75,0.73,0.23,0.75,0.81,0.61,0.77,0.84,0.60,0.85,0.75,0.73,0.67,0.71,0.62,0.72,0.45,0.13,0.74,0.83,0.70,0.46,0.58,0.68,0.62,0.55,0.79,0.79,0.69,0.75,0.23,0.68,0.60,0.68,0.48,0.37,0.74,0.86,0.89,0.73,0.49,0.83,0.43,0.71,0.78,0.64,0.66,0.89,0.63,0.78,0.54,0.83,0.75,0.79,0.79,0.81,0.76,0.78,0.74,0.92,0.61,0.69,0.53,0.51,0.63,0.63,0.35,0.86,0.80,0.93,0.55,0.74,0.39,0.54,0.60
4.6 Freedom from arbitrary interference with privacy is effectively guaranteed,0.34,0.40,0.70,0.90,0.94,0.26,0.24,0.82,0.45,0.67,0.29,0.66,0.54,0.43,0.36,0.38,0.78,0.84,0.36,0.55,0.32,0.40,0.87,0.90,0.51,0.42,0.32,0.61,0.77,0.21,1.00,0.70,0.35,0.79,0.66,0.74,0.63,0.71,0.73,0.50,0.48,0.08,0.81,0.59,0.77,0.33,0.40,0.26,0.36,0.71,0.54,0.57,0.26,0.56,0.45,0.55,0.43,0.56,0.19,0.15,0.52,0.86,0.81,0.40,0.34,0.92,0.25,0.60,0.72,0.39,0.75,0.71,0.70,0.66,0.38,0.58,0.40,0.43,0.76,0.82,0.56,0.87,0.38,0.99,0.47,0.57,0.44,0.30,0.17,0.52,0.63,0.71,0.69,0.75,0.20,0.27,0.72,0.48,0.14
4.7 Freedom of assembly and association is effectively guaranteed,0.65,0.66,0.67,0.89,0.92,0.55,0.39,0.86,0.53,0.67,0.72,0.76,0.74,0.72,0.47,0.60,0.85,0.80,0.17,0.63,0.60,0.75,0.82,0.94,0.72,0.59,0.60,0.63,0.80,0.31,0.90,0.90,0.66,0.91,0.81,0.80,0.68,0.55,0.75,0.67,0.71,0.21,0.80,0.75,0.77,0.49,0.42,0.69,0.68,0.82,0.73,0.71,0.53,0.66,0.34,0.73,0.66,0.73,0.58,0.33,0.72,0.89,0.84,0.53,0.62,0.93,0.63,0.64,0.73,0.68,0.76,0.87,0.73,0.78,0.44,0.80,0.75,0.62,0.47,0.81,0.77,0.81,0.68,0.96,0.60,0.64,0.62,0.44,0.45,0.69,0.24,0.84,0.83,0.89,0.25,0.45,0.30,0.42,0.19
4.8 Fundamental labor rights are effectively guaranteed,0.22,0.52,0.56,0.76,0.81,0.57,0.54,0.82,0.52,0.64,0.55,0.65,0.57,0.59,0.51,0.40,0.65,0.61,0.32,0.41,0.48,0.74,0.68,0.85,0.53,0.54,0.40,0.50,0.65,0.31,0.81,0.70,0.50,0.82,0.50,0.56,0.37,0.65,0.70,0.47,0.56,0.28,0.58,0.51,0.71,0.42,0.48,0.38,0.54,0.44,0.41,0.52,0.62,0.40,0.55,0.62,0.41,0.56,0.58,0.31,0.53,0.75,0.75,0.58,0.40,0.87,0.24,0.56,0.49,0.49,0.68,0.67,0.66,0.59,0.55,0.51,0.59,0.44,0.68,0.80,0.56,0.70,0.59,0.81,0.40,0.55,0.54,0.45,0.40,0.59,0.45,0.66,0.61,0.68,0.42,0.58,0.52,0.41,0.37
Factor 5: Order and Security,0.42,0.74,0.61,0.86,0.88,0.64,0.79,0.85,0.61,0.76,0.82,0.66,0.79,0.69,0.73,0.63,0.86,0.71,0.81,0.58,0.60,0.77,0.82,0.90,0.59,0.57,0.67,0.66,0.84,0.66,0.89,0.81,0.85,0.87,0.72,0.74,0.54,0.90,0.84,0.51,0.77,0.63,0.74,0.65,0.92,0.85,0.79,0.63,0.74,0.76,0.54,0.75,0.76,0.67,0.87,0.47,0.77,0.78,0.76,0.72,0.73,0.84,0.87,0.66,0.36,0.85,0.30,0.71,0.63,0.73,0.83,0.72,0.89,0.81,0.64,0.67,0.74,0.59,0.91,0.78,0.60,0.79,0.72,0.89,0.57,0.75,0.77,0.67,0.61,0.82,0.89,0.84,0.85,0.69,0.90,0.53,0.80,0.70,0.62
