Country,Afghanistan,Albania,Antigua and Barbuda,Argentina,Australia,Austria,Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guyana,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lebanon,Liberia,"Macedonia, FYR",Madagascar,Malawi,Malaysia,Mexico,Moldova,Mongolia,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russia,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Suriname,Sweden,Tanzania,Thailand,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
1.5 Government powers are subject to non-governmental checks,0.58,0.56,0.59,0.73,0.83,0.89,0.66,0.31,0.72,0.25,0.81,0.56,0.48,0.60,0.50,0.68,0.65,0.57,0.33,0.41,0.85,0.79,0.14,0.61,0.83,0.45,0.69,0.79,0.97,0.54,0.62,0.43,0.11,0.59,0.78,0.27,0.93,0.78,0.73,0.87,0.83,0.65,0.62,0.64,0.59,0.55,0.50,0.47,0.69,0.74,0.32,0.74,0.70,0.72,0.47,0.35,0.57,0.63,0.64,0.71,0.47,0.51,0.68,0.35,0.54,0.55,0.61,0.54,0.33,0.69,0.87,0.89,0.44,0.52,0.95,0.59,0.69,0.71,0.63,0.72,0.81,0.61,0.79,0.41,0.78,0.55,0.59,0.51,0.60,0.67,0.75,0.52,0.66,0.69,0.61,0.68,0.92,0.48,0.47,0.68,0.72,0.23,0.44,0.60,0.36,0.85,0.84,0.84,0.24,0.21,0.41,0.44,0.14
1.6 Transition of power is subject to the law,0.36,0.56,0.71,0.75,0.94,0.96,0.71,0.40,0.75,0.34,0.91,0.66,0.46,0.63,0.70,0.72,0.58,0.54,0.36,0.42,0.92,0.88,0.21,0.62,0.93,0.54,0.71,0.85,0.98,0.56,0.57,0.52,0.33,0.57,0.88,0.31,0.97,0.88,0.66,0.96,0.66,0.86,0.75,0.67,0.64,0.49,0.61,0.63,0.74,0.69,0.50,0.80,0.75,0.82,0.46,0.45,0.53,0.56,0.48,0.68,0.47,0.53,0.60,0.42,0.62,0.46,0.62,0.60,0.53,0.68,0.92,0.89,0.33,0.53,0.96,0.47,0.84,0.80,0.65,0.85,0.92,0.85,0.76,0.42,0.81,0.62,0.63,0.87,0.80,0.70,0.88,0.68,0.70,0.77,0.66,0.58,0.95,0.58,0.38,0.75,0.74,0.41,0.32,0.55,0.59,0.93,0.83,0.93,0.42,0.20,0.47,0.59,0.15
Factor 2: Absence of Corruption,0.23,0.33,0.66,0.51,0.83,0.84,0.64,0.34,0.70,0.52,0.78,0.48,0.29,0.43,0.62,0.45,0.41,0.38,0.24,0.24,0.83,0.70,0.52,0.41,0.69,0.38,0.57,0.68,0.96,0.65,0.34,0.42,0.45,0.42,0.78,0.44,0.92,0.74,0.73,0.84,0.41,0.55,0.69,0.34,0.46,0.36,0.85,0.51,0.44,0.38,0.48,0.60,0.55,0.83,0.66,0.43,0.26,0.28,0.36,0.26,0.50,0.30,0.36,0.61,0.32,0.28,0.41,0.54,0.44,0.38,0.88,0.90,0.37,0.30,0.92,0.33,0.45,0.36,0.48,0.73,0.72,0.65,0.55,0.41,0.55,0.41,0.30,0.93,0.60,0.55,0.69,0.45,0.68,0.68,0.67,0.56,0.91,0.39,0.47,0.54,0.47,0.48,0.27,0.36,0.80,0.82,0.73,0.77,0.33,0.25,0.45,0.40,0.29
2.1 Government officials in the executive branch do not use public office for private gain,0.34,0.35,0.61,0.50,0.80,0.83,0.64,0.42,0.67,0.48,0.74,0.44,0.38,0.39,0.58,0.40,0.42,0.39,0.29,0.30,0.79,0.68,0.48,0.46,0.68,0.39,0.53,0.62,0.91,0.59,0.38,0.46,0.43,0.49,0.73,0.39,0.91,0.69,0.71,0.81,0.40,0.52,0.65,0.39,0.45,0.41,0.81,0.41,0.46,0.49,0.49,0.54,0.51,0.76,0.61,0.45,0.29,0.33,0.37,0.34,0.51,0.34,0.34,0.52,0.40,0.30,0.42,0.57,0.53,0.43,0.85,0.87,0.47,0.31,0.93,0.37,0.51,0.49,0.53,0.70,0.68,0.68,0.53,0.42,0.53,0.44,0.35,0.93,0.54,0.49,0.65,0.46,0.58,0.66,0.61,0.53,0.88,0.45,0.51,0.53,0.54,0.45,0.26,0.41,0.79,0.82,0.71,0.74,0.30,0.24,0.54,0.39,0.26
2.2 Government officials in the judicial branch do not use public office for private gain,0.07,0.27,0.92,0.63,0.93,0.95,0.77,0.32,0.92,0.60,0.91,0.55,0.21,0.55,0.75,0.66,0.50,0.43,0.13,0.24,0.92,0.78,0.51,0.53,0.78,0.36,0.62,0.81,0.98,0.82,0.42,0.38,0.62,0.41,0.93,0.31,0.98,0.82,0.66,0.94,0.58,0.76,0.87,0.37,0.60,0.38,0.91,0.71,0.50,0.32,0.43,0.74,0.71,0.96,0.71,0.41,0.34,0.30,0.39,0.27,0.40,0.28,0.53,0.67,0.36,0.25,0.48,0.43,0.24,0.37,0.97,0.92,0.28,0.50,0.96,0.41,0.40,0.35,0.43,0.83,0.83,0.83,0.66,0.45,0.54,0.43,0.32,0.91,0.75,0.72,0.79,0.54,0.87,0.84,0.77,0.75,0.94,0.37,0.61,0.76,0.40,0.53,0.39,0.37,0.86,0.95,0.87,0.86,0.36,0.15,0.36,0.51,0.39
2.3 Government officials in the police and the military do not use public office for private gain,0.37,0.53,0.78,0.58,0.91,0.92,0.84,0.27,0.81,0.62,0.89,0.55,0.27,0.54,0.73,0.60,0.58,0.51,0.25,0.28,0.90,0.86,0.65,0.50,0.78,0.48,0.80,0.83,0.98,0.80,0.43,0.51,0.45,0.57,0.89,0.47,0.97,0.84,0.92,0.91,0.35,0.77,0.78,0.49,0.45,0.38,0.93,0.66,0.43,0.46,0.59,0.83,0.63,0.90,0.77,0.49,0.27,0.37,0.49,0.31,0.74,0.36,0.31,0.68,0.32,0.48,0.58,0.57,0.48,0.50,0.91,0.94,0.49,0.33,0.95,0.31,0.59,0.39,0.57,0.85,0.90,0.77,0.74,0.50,0.64,0.49,0.32,0.93,0.70,0.60,0.84,0.54,0.80,0.77,0.82,0.59,0.96,0.30,0.45,0.61,0.52,0.66,0.26,0.38,0.84,0.84,0.79,0.83,0.30,0.31,0.46,0.38,0.29
2.4 Government officials in the legislative branch do not use public office for private gain,0.15,0.16,0.32,0.31,0.66,0.66,0.32,0.36,0.41,0.36,0.58,0.37,0.29,0.23,0.41,0.16,0.13,0.18,0.29,0.13,0.73,0.48,0.42,0.15,0.53,0.29,0.33,0.47,0.97,0.37,0.15,0.32,0.31,0.22,0.56,0.59,0.81,0.61,0.62,0.68,0.30,0.15,0.47,0.10,0.37,0.25,0.75,0.25,0.37,0.26,0.41,0.29,0.34,0.69,0.56,0.38,0.13,0.13,0.22,0.12,0.36,0.22,0.26,0.58,0.22,0.10,0.14,0.59,0.50,0.23,0.81,0.86,0.23,0.08,0.83,0.22,0.31,0.20,0.41,0.54,0.47,0.34,0.30,0.26,0.47,0.29,0.22,0.93,0.41,0.39,0.47,0.27,0.45,0.46,0.46,0.36,0.84,0.46,0.30,0.27,0.40,0.27,0.17,0.29,0.73,0.68,0.56,0.63,0.37,0.29,0.45,0.31,0.20
Factor 3: Open Government ,0.40,0.45,0.51,0.57,0.78,0.75,0.45,0.45,0.52,0.43,0.73,0.45,0.44,0.54,0.49,0.62,0.58,0.45,0.24,0.35,0.80,0.72,0.44,0.64,0.69,0.37,0.59,0.69,0.86,0.50,0.54,0.45,0.23,0.51,0.81,0.27,0.85,0.77,0.63,0.79,0.55,0.57,0.56,0.49,0.47,0.46,0.66,0.52,0.66,0.58,0.34,0.63,0.58,0.68,0.43,0.48,0.49,0.55,0.43,0.48,0.56,0.46,0.50,0.35,0.61,0.58,0.48,0.47,0.33,0.54,0.85,0.84,0.41,0.43,0.87,0.46,0.58,0.56,0.51,0.72,0.67,0.68,0.67,0.49,0.52,0.56,0.40,0.67,0.66,0.61,0.68,0.48,0.46,0.52,0.49,0.45,0.84,0.39,0.52,0.55,0.51,0.42,0.39,0.55,0.39,0.84,0.78,0.70,0.31,0.32,0.43,0.43,0.30
3.1. Publicized laws and government data ,0.35,0.49,0.27,0.49,0.82,0.73,0.31,0.40,0.26,0.42,0.63,0.33,0.32,0.41,0.28,0.68,0.65,0.29,0.18,0.29,0.77,0.63,0.42,0.68,0.51,0.18,0.54,0.68,0.87,0.35,0.37,0.42,0.29,0.37,0.86,0.21,0.86,0.78,0.53,0.73,0.37,0.47,0.29,0.27,0.30,0.32,0.68,0.60,0.61,0.45,0.26,0.62,0.47,0.61,0.34,0.52,0.30,0.52,0.25,0.15,0.46,0.38,0.31,0.23,0.64,0.62,0.38,0.36,0.24,0.38,0.84,0.88,0.35,0.19,0.84,0.32,0.39,0.37,0.39,0.61,0.52,0.70,0.67,0.47,0.37,0.55,0.19,0.72,0.72,0.50,0.69,0.37,0.29,0.36,0.26,0.34,0.75,0.24,0.46,0.37,0.36,0.47,0.19,0.51,0.34,0.90,0.75,0.74,0.47,0.33,0.51,0.31,0.24
3.2 Right to information,0.31,0.46,0.60,0.50,0.65,0.68,0.48,0.53,0.55,0.46,0.70,0.33,0.43,0.58,0.59,0.57,0.47,0.41,0.32,0.39,0.68,0.71,0.63,0.65,0.68,0.33,0.60,0.66,0.79,0.59,0.56,0.39,0.11,0.51,0.76,0.36,0.80,0.76,0.70,0.76,0.47,0.61,0.70,0.55,0.50,0.46,0.73,0.49,0.64,0.58,0.39,0.60,0.62,0.72,0.53,0.50,0.43,0.54,0.42,0.45,0.63,0.44,0.34,0.44,0.64,0.53,0.52,0.44,0.38,0.45,0.80,0.78,0.34,0.43,0.83,0.47,0.54,0.59,0.59,0.75,0.67,0.71,0.58,0.49,0.53,0.55,0.44,0.69,0.60,0.58,0.62,0.56,0.43,0.51,0.59,0.50,0.94,0.46,0.51,0.55,0.48,0.49,0.37,0.52,0.37,0.74,0.72,0.61,0.19,0.26,0.31,0.43,0.40
3.3 Civic participation,0.55,0.47,0.60,0.70,0.82,0.88,0.66,0.36,0.74,0.34,0.83,0.54,0.50,0.59,0.57,0.64,0.63,0.61,0.33,0.42,0.87,0.76,0.21,0.60,0.79,0.54,0.66,0.79,0.94,0.60,0.56,0.46,0.17,0.55,0.81,0.23,0.93,0.77,0.69,0.88,0.79,0.63,0.63,0.57,0.59,0.52,0.52,0.47,0.66,0.67,0.34,0.72,0.69,0.70,0.44,0.39,0.57,0.63,0.58,0.66,0.57,0.53,0.72,0.35,0.53,0.60,0.62,0.51,0.33,0.66,0.86,0.87,0.42,0.53,0.95,0.55,0.67,0.66,0.61,0.72,0.80,0.61,0.70,0.41,0.75,0.55,0.56,0.57,0.65,0.66,0.71,0.52,0.68,0.70,0.61,0.63,0.87,0.49,0.49,0.67,0.68,0.24,0.46,0.63,0.34,0.86,0.83,0.80,0.16,0.29,0.42,0.47,0.18
3.4 Complaint mechanisms,0.37,0.38,0.57,0.58,0.83,0.73,0.37,0.51,0.54,0.52,0.77,0.57,0.51,0.58,0.53,0.61,0.56,0.50,0.14,0.29,0.87,0.79,0.49,0.64,0.79,0.42,0.56,0.63,0.86,0.45,0.65,0.53,0.35,0.62,0.80,0.30,0.83,0.76,0.62,0.79,0.56,0.58,0.60,0.58,0.49,0.53,0.72,0.53,0.73,0.63,0.37,0.58,0.55,0.71,0.39,0.51,0.66,0.51,0.47,0.66,0.58,0.47,0.62,0.38,0.63,0.57,0.40,0.55,0.39,0.67,0.88,0.82,0.54,0.56,0.88,0.49,0.70,0.62,0.45,0.82,0.69,0.70,0.74,0.59,0.43,0.59,0.41,0.71,0.67,0.70,0.68,0.48,0.43,0.52,0.50,0.32,0.81,0.36,0.62,0.63,0.53,0.47,0.54,0.54,0.51,0.85,0.81,0.65,0.42,0.41,0.48,0.50,0.37
Factor 4: Fundamental Rights,0.40,0.60,0.74,0.69,0.81,0.88,0.67,0.34,0.79,0.48,0.84,0.51,0.50,0.65,0.51,0.61,0.64,0.56,0.39,0.43,0.82,0.75,0.32,0.55,0.79,0.45,0.69,0.81,0.92,0.68,0.60,0.51,0.29,0.57,0.80,0.29,0.92,0.75,0.68,0.85,0.65,0.65,0.68,0.55,0.54,0.44,0.70,0.62,0.50,0.52,0.29,0.72,0.63,0.75,0.50,0.45,0.47,0.54,0.51,0.56,0.54,0.49,0.58,0.44,0.51,0.58,0.60,0.45,0.30,0.53,0.86,0.82,0.45,0.46,0.89,0.39,0.63,0.64,0.50,0.74,0.79,0.70,0.73,0.44,0.62,0.58,0.57,0.69,0.77,0.63,0.77,0.52,0.74,0.73,0.71,0.53,0.88,0.48,0.47,0.61,0.57,0.34,0.39,0.63,0.46,0.81,0.75,0.80,0.36,0.33,0.54,0.45,0.28
4.1 Equal treatment and absence of discrimination,0.35,0.56,0.78,0.63,0.65,0.71,0.60,0.47,0.75,0.77,0.76,0.41,0.40,0.57,0.61,0.60,0.60,0.68,0.43,0.49,0.68,0.53,0.45,0.50,0.67,0.59,0.61,0.77,0.78,0.49,0.54,0.50,0.52,0.48,0.83,0.34,0.86,0.69,0.73,0.77,0.69,0.62,0.62,0.33,0.39,0.30,0.84,0.52,0.39,0.44,0.38,0.61,0.59,0.81,0.65,0.54,0.44,0.48,0.44,0.51,0.60,0.63,0.48,0.46,0.36,0.64,0.51,0.58,0.39,0.51,0.83,0.75,0.49,0.50,0.81,0.36,0.48,0.51,0.54,0.76,0.68,0.70,0.72,0.59,0.63,0.54,0.58,0.87,0.76,0.52,0.67,0.49,0.74,0.76,0.56,0.52,0.74,0.51,0.59,0.60,0.57,0.51,0.53,0.67,0.61,0.71,0.52,0.70,0.60,0.60,0.68,0.45,0.37
4.2 The right to life and security of the person is effectively guaranteed,0.29,0.67,0.91,0.75,0.91,0.96,0.82,0.19,0.91,0.50,0.98,0.49,0.55,0.77,0.46,0.57,0.72,0.51,0.38,0.38,0.95,0.86,0.48,0.55,0.91,0.25,0.79,0.91,1.00,0.81,0.64,0.52,0.27,0.72,0.89,0.23,0.96,0.80,0.77,0.93,0.65,0.78,0.91,0.64,0.56,0.35,0.81,0.79,0.44,0.52,0.34,0.83,0.62,0.84,0.66,0.49,0.37,0.52,0.52,0.47,0.53,0.31,0.60,0.44,0.40,0.65,0.69,0.33,0.24,0.46,0.97,0.91,0.47,0.32,0.94,0.32,0.72,0.71,0.34,0.88,0.92,0.88,0.84,0.40,0.59,0.69,0.57,0.85,0.95,0.64,0.85,0.45,0.85,0.87,0.84,0.50,0.97,0.40,0.32,0.61,0.55,0.41,0.28,0.56,0.46,0.92,0.88,0.90,0.33,0.14,0.62,0.39,0.20
