CATEGORY,GROUP,QUESTION
The Open Budget Questionnaire,The Open Budget Index,93
The Open Budget Questionnaire,The Open Budget Index,94
The Open Budget Questionnaire,The Open Budget Index,95
The Open Budget Questionnaire,The Open Budget Index,96
The Open Budget Questionnaire,The Open Budget Index,97
The Open Budget Questionnaire,The Open Budget Index,98
The Open Budget Questionnaire,The Open Budget Index,99
The Open Budget Questionnaire,The Open Budget Index,100
The Open Budget Questionnaire,The Open Budget Index,101
The Open Budget Questionnaire,The Open Budget Index,102
The Open Budget Questionnaire,The Open Budget Index,143
The Open Budget Questionnaire,The Open Budget Index,144
The Open Budget Questionnaire,The Open Budget Index,145
The Open Budget Questionnaire,The Open Budget Index,146
The Open Budget Questionnaire,The Open Budget Index,147
The Open Budget Questionnaire,The Open Budget Index,148
The Open Budget Questionnaire,The Open Budget Index,149
The Open Budget Questionnaire,Public Participation in the Budget Process,125
The Open Budget Questionnaire,Public Participation in the Budget Process,126
The Open Budget Questionnaire,Public Participation in the Budget Process,127
The Open Budget Questionnaire,Public Participation in the Budget Process,128
The Open Budget Questionnaire,Public Participation in the Budget Process,129
The Open Budget Questionnaire,Public Participation in the Budget Process,130
The Open Budget Questionnaire,Public Participation in the Budget Process,131
The Open Budget Questionnaire,Public Participation in the Budget Process,132
The Open Budget Questionnaire,Public Participation in the Budget Process,133
The Open Budget Questionnaire,Public Participation in the Budget Process,t3pbs
The Open Budget Questionnaire,Public Participation in the Budget Process,t3ebp
The Open Budget Questionnaire,Public Participation in the Budget Process,t3eb
The Open Budget Questionnaire,Public Participation in the Budget Process,t3iyr
The Open Budget Questionnaire,Public Participation in the Budget Process,t3myr
The Open Budget Questionnaire,Public Participation in the Budget Process,t3yer
The Open Budget Questionnaire,Public Participation in the Budget Process,t3ar
The Open Budget Questionnaire,Public Participation in the Budget Process,141
The Open Budget Questionnaire,Public Participation in the Budget Process,142
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,107
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,108
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,109
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,110
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,111
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,112
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,113
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,114
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,115
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,116
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,117
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,118
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,119
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,120
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,121
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,122
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,123
The Open Budget Questionnaire,Role and Effectiveness of Oversight Institutions,124
The Open Budget Questionnaire,Legislative oversight,107
The Open Budget Questionnaire,Legislative oversight,108
The Open Budget Questionnaire,Legislative oversight,109
The Open Budget Questionnaire,Legislative oversight,110
The Open Budget Questionnaire,Legislative oversight,111
The Open Budget Questionnaire,Legislative oversight,112
The Open Budget Questionnaire,Legislative oversight,113
The Open Budget Questionnaire,Legislative oversight,114
The Open Budget Questionnaire,Legislative oversight,115
The Open Budget Questionnaire,Legislative oversight,116
The Open Budget Questionnaire,Legislative oversight,117
The Open Budget Questionnaire,Legislative oversight,118
The Open Budget Questionnaire,Supreme Audit Institution oversight,119
The Open Budget Questionnaire,Supreme Audit Institution oversight,120
The Open Budget Questionnaire,Supreme Audit Institution oversight,121
The Open Budget Questionnaire,Supreme Audit Institution oversight,122
The Open Budget Questionnaire,Supreme Audit Institution oversight,123
The Open Budget Questionnaire,Supreme Audit Institution oversight,124
The Key Budget Documents and their content,Pre-Budget Statement,54
The Key Budget Documents and their content,Pre-Budget Statement,55
The Key Budget Documents and their content,Pre-Budget Statement,56
The Key Budget Documents and their content,Pre-Budget Statement,57
The Key Budget Documents and their content,Pre-Budget Statement,58
The Key Budget Documents and their content,Pre-Budget Statement,143
The Key Budget Documents and their content,Executive's Budget Proposal,1
The Key Budget Documents and their content,Executive's Budget Proposal,2
The Key Budget Documents and their content,Executive's Budget Proposal,3
The Key Budget Documents and their content,Executive's Budget Proposal,4
The Key Budget Documents and their content,Executive's Budget Proposal,5
The Key Budget Documents and their content,Executive's Budget Proposal,6
The Key Budget Documents and their content,Executive's Budget Proposal,7
The Key Budget Documents and their content,Executive's Budget Proposal,8
The Key Budget Documents and their content,Executive's Budget Proposal,9
The Key Budget Documents and their content,Executive's Budget Proposal,10
The Key Budget Documents and their content,Executive's Budget Proposal,11
The Key Budget Documents and their content,Executive's Budget Proposal,12
The Key Budget Documents and their content,Executive's Budget Proposal,13
The Key Budget Documents and their content,Executive's Budget Proposal,14
The Key Budget Documents and their content,Executive's Budget Proposal,15
The Key Budget Documents and their content,Executive's Budget Proposal,16
The Key Budget Documents and their content,Executive's Budget Proposal,17
The Key Budget Documents and their content,Executive's Budget Proposal,18
The Key Budget Documents and their content,Executive's Budget Proposal,19
The Key Budget Documents and their content,Executive's Budget Proposal,20
The Key Budget Documents and their content,Executive's Budget Proposal,21
The Key Budget Documents and their content,Executive's Budget Proposal,22
The Key Budget Documents and their content,Executive's Budget Proposal,23
The Key Budget Documents and their content,Executive's Budget Proposal,24
The Key Budget Documents and their content,Executive's Budget Proposal,25
The Key Budget Documents and their content,Executive's Budget Proposal,26
The Key Budget Documents and their content,Executive's Budget Proposal,27
The Key Budget Documents and their content,Executive's Budget Proposal,28
The Key Budget Documents and their content,Executive's Budget Proposal,29
The Key Budget Documents and their content,Executive's Budget Proposal,30
The Key Budget Documents and their content,Executive's Budget Proposal,31
The Key Budget Documents and their content,Executive's Budget Proposal,32
The Key Budget Documents and their content,Executive's Budget Proposal,33
The Key Budget Documents and their content,Executive's Budget Proposal,34
The Key Budget Documents and their content,Executive's Budget Proposal,35
The Key Budget Documents and their content,Executive's Budget Proposal,36
The Key Budget Documents and their content,Executive's Budget Proposal,37
The Key Budget Documents and their content,Executive's Budget Proposal,38
The Key Budget Documents and their content,Executive's Budget Proposal,39
The Key Budget Documents and their content,Executive's Budget Proposal,40
The Key Budget Documents and their content,Executive's Budget Proposal,41
The Key Budget Documents and their content,Executive's Budget Proposal,42
The Key Budget Documents and their content,Executive's Budget Proposal,43
The Key Budget Documents and their content,Executive's Budget Proposal,44
The Key Budget Documents and their content,Executive's Budget Proposal,45
The Key Budget Documents and their content,Executive's Budget Proposal,46
The Key Budget Documents and their content,Executive's Budget Proposal,47
The Key Budget Documents and their content,Executive's Budget Proposal,48
The Key Budget Documents and their content,Executive's Budget Proposal,49
The Key Budget Documents and their content,Executive's Budget Proposal,50
The Key Budget Documents and their content,Executive's Budget Proposal,51
The Key Budget Documents and their content,Executive's Budget Proposal,52
The Key Budget Documents and their content,Executive's Budget Proposal,53
The Key Budget Documents and their content,Executive's Budget Proposal,144
The Key Budget Documents and their content,Enacted Budget,59
The Key Budget Documents and their content,Enacted Budget,60
The Key Budget Documents and their content,Enacted Budget,61
The Key Budget Documents and their content,Enacted Budget,62
The Key Budget Documents and their content,Enacted Budget,63
The Key Budget Documents and their content,Enacted Budget,145
The Key Budget Documents and their content,Citizens Budget,64
The Key Budget Documents and their content,Citizens Budget,65
The Key Budget Documents and their content,Citizens Budget,66
The Key Budget Documents and their content,Citizens Budget,67
The Key Budget Documents and their content,In-Year Reports,68
The Key Budget Documents and their content,In-Year Reports,69
The Key Budget Documents and their content,In-Year Reports,70
The Key Budget Documents and their content,In-Year Reports,71
The Key Budget Documents and their content,In-Year Reports,72
The Key Budget Documents and their content,In-Year Reports,73
The Key Budget Documents and their content,In-Year Reports,74
The Key Budget Documents and their content,In-Year Reports,75
The Key Budget Documents and their content,In-Year Reports,146
The Key Budget Documents and their content,Mid-Year Review,76
The Key Budget Documents and their content,Mid-Year Review,77
The Key Budget Documents and their content,Mid-Year Review,78
The Key Budget Documents and their content,Mid-Year Review,79
The Key Budget Documents and their content,Mid-Year Review,80
The Key Budget Documents and their content,Mid-Year Review,81
The Key Budget Documents and their content,Mid-Year Review,82
The Key Budget Documents and their content,Mid-Year Review,83
The Key Budget Documents and their content,Mid-Year Review,147
The Key Budget Documents and their content,Year-End Report,84
The Key Budget Documents and their content,Year-End Report,85
The Key Budget Documents and their content,Year-End Report,86
The Key Budget Documents and their content,Year-End Report,87
The Key Budget Documents and their content,Year-End Report,88
The Key Budget Documents and their content,Year-End Report,89
The Key Budget Documents and their content,Year-End Report,90
The Key Budget Documents and their content,Year-End Report,91
The Key Budget Documents and their content,Year-End Report,92
The Key Budget Documents and their content,Year-End Report,93
The Key Budget Documents and their content,Year-End Report,94
The Key Budget Documents and their content,Year-End Report,95
The Key Budget Documents and their content,Year-End Report,96
The Key Budget Documents and their content,Year-End Report,148
The Key Budget Documents and their content,Audit Report,97
The Key Budget Documents and their content,Audit Report,98
The Key Budget Documents and their content,Audit Report,99
The Key Budget Documents and their content,Audit Report,100
The Key Budget Documents and their content,Audit Report,101
The Key Budget Documents and their content,Audit Report,102
The Key Budget Documents and their content,Audit Report,149
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",1
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",2
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",3
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",4
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",5
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",6
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",7
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",8
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",19
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",20
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",21
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",22
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",23
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",24
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",36
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",41
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",45
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",58
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",59
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",60
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",68
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",69
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",70
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",77
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",78
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",79
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",84
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",85
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",86
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",98
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",9
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",10
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",11
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",12
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",25
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",26
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",27
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",28
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",29
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",30
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",46
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",61
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",62
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",71
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",72
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",73
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",80
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",81
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",82
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",87
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",88
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",89
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",13
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",14
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",31
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",32
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",57
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",63
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",74
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",75
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",83
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",90
Info throughout all eight key documents,Performance Information,17
Info throughout all eight key documents,Performance Information,18
Info throughout all eight key documents,Performance Information,47
Info throughout all eight key documents,Performance Information,48
Info throughout all eight key documents,Performance Information,49
Info throughout all eight key documents,Performance Information,50
Info throughout all eight key documents,Performance Information,51
Info throughout all eight key documents,Performance Information,52
Info throughout all eight key documents,Performance Information,55
Info throughout all eight key documents,Performance Information,56
Info throughout all eight key documents,Performance Information,92
Info throughout all eight key documents,Performance Information,93
Info throughout all eight key documents,Performance Information,94
