NUMBER,TEXT,A,B,C,D,E
15,"Does the Executive’s Budget Proposal or any supporting budget documentation present information on the macroeconomic forecast upon which the budget projections are based? 

(The core information must include a discussion of the economic outlook with estimates of nominal GDP level, inflation rate, real GDP growth, and interest rates.)","Yes, information beyond the core elements is presented for the macroeconomic forecast.","Yes, the core information is presented for the macroeconomic forecast.","Yes, information is presented, but it excludes some core elements.","No, information related to the macroeconomic forecast is not presented.",Not applicable/other.
16,"Does the Executive’s Budget Proposal or any supporting budget documentation show the impact of different macroeconomic assumptions (i.e., sensitivity analysis) on the budget? 

(The core information must include estimates of the impact on expenditures, revenue, and debt of different assumptions for the inflation rate, real GDP growth, and interest rates.)","Yes, information beyond the core elements is presented to show the impact of different macroeconomic assumptions on the budget.","Yes, the core information is presented to show the impact of different macroeconomic assumptions on the budget.","Yes, information is presented, but it excludes some core elements.","No, information related to different macroeconomic assumptions is not presented.",Not applicable/other.
17,"Does the Executive’s Budget Proposal or any supporting budget documentation present information for at least the budget year that shows how new policy proposals, as distinct from existing policies, affect expenditures?","Yes, estimates that show how all new policy proposals affect expenditures are presented, along with a narrative discussion.","Yes, estimates that show how all new policy proposals affect expenditures are presented, but a narrative discussion is not included.","Yes, information that shows how some but not all new policy proposals affect expenditure is presented.","No, information that shows how new policy proposals affect expenditure is not presented.",Not applicable/other.
18,"Does the Executive’s Budget Proposal or any supporting budget documentation present information for at least the budget year that shows how new policy proposals, as distinct from existing policies, affect revenues?","Yes, estimates that show how all new policy proposals affect revenues are presented, along with a narrative discussion.","Yes, estimates that show how all new policy proposals affect revenues are presented, but a narrative discussion is not included.","Yes, information that shows how some but not all new policy proposals affect revenues are presented.","No, information that shows how new policy proposals affect revenues is not presented.",Not applicable/other.
19,"Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for the year preceding the budget year (BY-1) by any of the three expenditure classifications (by administrative, economic, or functional classification)?","Yes, expenditure estimates for BY-1 are presented by all three expenditure classifications (by administrative, economic, and functional classification).","Yes, expenditure estimates for BY-1 are presented by two of the three expenditure classifications.","Yes, expenditure estimates for BY-1 are presented by only one of the three expenditure classifications.","No, expenditure estimates for BY-1 are not presented by any expenditure classification.",Not applicable/other.
20,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for individual programs for the year preceding the budget year (BY-1)?,"Yes, programs accounting for all expenditures are presented for BY-1.","Yes, programs accounting for at least two-thirds of, but not all, expenditures are presented for BY-1.","Yes, programs accounting for less than two-thirds of expenditures are presented for BY-1.","No, expenditures are not presented by program for BY-1.",Not applicable/other.
21,"In the Executive’s Budget Proposal or any supporting budget documentation, have expenditure estimates of the year prior to the budget year (BY-1) been updated from the original enacted levels to reflect actual expenditures?","Yes, expenditure estimates for BY-1 have been updated from the original enacted levels.","No, expenditure estimates for BY-1 have not been updated from the original enacted levels.",Not applicable/other.,,
22,"Does the Executive’s Budget Proposal or any supporting budget documentation present estimates of expenditure for more than one year prior to the budget year (that is, BY-2 and prior years) by any of the three expenditure classifications (by administrative, economic, or functional classification)?","Yes, expenditure estimates for BY-2 and prior years are presented by all three expenditure classifications (by administrative, economic, and functional classification).","Yes, expenditure estimates for BY-2 and prior years are presented by two of the three expenditure classifications.","Yes, expenditure estimates for BY-2 and prior years are presented by only one of the three expenditure classifications.","No, expenditure estimates for BY-2 and prior years are not presented by any expenditure classification.",Not applicable/other.
23,"Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for individual programs for more than one year preceding the budget year (that is, BY-2 and prior years)?","Yes, programs accounting for all expenditures are presented for BY-2 and prior years.","Yes, programs accounting for at least two-thirds of, but not all, expenditures are presented for BY-2 and prior years.","Yes, programs accounting for less than two-thirds of expenditures are presented for BY-2 and prior years.","No, expenditures are not presented by program for BY-2 and prior years.",Not applicable/other.
24,"In the Executive’s Budget Proposal or any supporting budget documentation, what is the most recent year presented for which all expenditures reflect actual outcomes?",Two years prior to the budget year (BY-2).,Three years prior to the budget year (BY-3).,Before BY-3.,No actual data for all expenditures are presented in the budget or supporting budget documentation.,Not applicable/other.
25,Does the Executive’s Budget Proposal or any supporting budget documentation present revenue by category (such as tax and non-tax) for the year preceding the budget year (BY-1)?,"Yes, revenue estimates for BY-1 are presented by category.","No, revenue estimates for BY-1 are not presented by category.",Not applicable/other.,,
26,Does the Executive’s Budget Proposal or any supporting budget documentation present individual sources of revenue for the year preceding the budget year (BY-1)?,"Yes, individual sources of revenue accounting for all revenue are presented for BY-1.","Yes, individual sources of revenue accounting for at least two-thirds of, but not all, revenue for BY-1 are presented.","Yes, individual sources of revenue accounting for less than two-thirds of all revenues for BY-1 are presented.","No, individual sources of revenue are not presented for BY-1.",Not applicable/other.
27,"In the Executive’s Budget Proposal or any supporting budget documentation, have the original estimates of revenue for the year prior to the budget year (BY-1) been updated to reflect actual revenue collections?","Yes, revenue estimates for BY-1 have been updated from the original enacted levels.","No, revenue estimates for BY-1 have not been updated from the original enacted levels.",Not applicable/other.,,
28,"Does the Executive’s Budget Proposal or any supporting budget documentation present revenue estimates by category (such as tax and non-tax) for more than one year prior to the budget year (that is, BY-2 and prior years)?","Yes, revenue estimates for BY-2 and prior years are presented by category.","No, revenue estimates for BY-2 and prior years are not presented by category.",Not applicable/other.,,
29,"Does the Executive’s Budget Proposal or any supporting budget documentation present individual sources of revenue for more than one year prior to the budget year (that is, BY-2 and prior years)?","Yes, individual sources of revenue accounting for all revenue are presented for BY-2 and prior years.","Yes, individual sources of revenue accounting for at least two-thirds of, but not all, revenue are presented for BY-2 and prior years.","Yes, individual sources of revenue accounting for less than two-thirds of all revenues are presented for BY-2 and prior years.","No, individual sources of revenue are not presented for BY-2 and prior years.",Not applicable/other.
30,"In the Executive’s Budget Proposal or any supporting budget documentation, what is the most recent year presented for which all revenues reflect actual outcomes?",Two years prior to the budget year (BY-2).,Three years prior to the budget year (BY-3).,Before BY-3.,No actual data for all revenues are presented in the budget or supporting budget documentation.,Not applicable/other.
31,"Does the Executive’s Budget Proposal or any supporting budget documentation present information on government borrowing and debt, including its composition, for the year preceding the budget year (BY-1)? 

(The core information must include the total debt outstanding at the end of BY-1; the amount of net new borrowing required during BY-1; interest payments on the debt; interest rates on the debt instruments; maturity profile of the debt; and whether it is domestic or external debt.)","Yes, information beyond the core elements is presented for government debt.","Yes, the core information is presented for government debt.","Yes, information is presented, but it excludes some core elements.","No, information related to government debt is not presented.",Not applicable/other.
32,"In the Executive’s Budget Proposal or any supporting budget documentation, what is the most recent year presented for which the debt figures reflect actual outcomes?",Two years prior to the budget year (BY-2).,Three years prior to the budget year (BY-3).,Before BY-3.,No actual data for government debt are presented in the budget or supporting budget documentation.,Not applicable/other.
33,"Does the Executive’s Budget Proposal or any supporting budget documentation present information on extra-budgetary funds for at least the budget year?

(The core information must include a statement of purpose or policy rationale for the extra-budgetary fund; and complete income, expenditure, and financing data on a gross basis.)","Yes, information beyond the core elements is presented for all extra-budgetary funds.","Yes, the core information is presented for all extra-budgetary funds.","Yes, information is presented, but it excludes some core elements or some extra-budgetary funds.","No, information related to extra-budgetary funds is not presented.",Not applicable/other.
34,Does the Executive’s Budget Proposal or any supporting budget documentation present central government finances (both budgetary and extra-budgetary) on a consolidated basis for at least the budget year?,"Yes, central government finances are presented on a consolidated basis.","No, central government finances are not presented on a consolidated basis.",Not applicable/other.,,
35,Does the Executive’s Budget Proposal or any supporting budget documentation present estimates of intergovernmental transfers for at least the budget year?,"Yes, estimates of all intergovernmental transfers are presented, along with a narrative discussion.","Yes, estimates of all intergovernmental transfers are presented, but a narrative discussion is not included.","Yes, estimates of some but not all intergovernmental transfers are presented.","No, estimates of intergovernmental transfers are not presented.",Not applicable/other.
36,"Does the Executive’s Budget Proposal or any supporting budget documentation present alternative displays of expenditures (such as by gender, by age, by income, or by region) to illustrate the financial impact of policies on different groups of citizens, for at least the budget year?","Yes, at least three alternative displays of expenditures are presented to illustrate the financial impact of policies on different groups of citizens.","Yes, two alternative displays of expenditures are presented to illustrate the financial impact of policies on different groups of citizens.","Yes, one alternative display of expenditures is presented to illustrate the financial impact of policies on different groups of citizens.","No, alternative displays of expenditures are not presented to illustrate the financial impact of policies on different groups of citizens.",Not applicable/other.
37,Does the Executive’s Budget Proposal or any supporting budget documentation present estimates of transfers to public corporations for at least the budget year?,"Yes, estimates of all transfers to public corporations are presented, along with a narrative discussion.","Yes, estimates of all transfers to public corporations are presented, but a narrative discussion is not included.","Yes, estimates of some but not all transfers to public corporations are presented.","No, estimates of transfers to public corporations are not presented.",Not applicable/other.
38,"Does the Executive’s Budget Proposal or any supporting budget documentation present information on quasi-fiscal activities for at least the budget year? 

(The core information must include a statement of purpose or policy rationale for the quasi-fiscal activity and the intended beneficiaries.)","Yes, information beyond the core elements is presented for all quasi-fiscal activities.","Yes, the core information is presented for all quasi-fiscal activities.","Yes, information is presented, but it excludes some core elements or some quasi-fiscal activities.","No, information related to quasi-fiscal activities is not presented.",Not applicable/other.
39,"Does the Executive’s Budget Proposal or any supporting budget documentation present information on financial assets held by the government?  

(The core information must include a listing of the assets, and an estimate of their value.)","Yes, information beyond the core elements is presented for all financial assets.","Yes, the core information is presented for all financial assets.","Yes, information is presented, but it excludes some core elements or some financial assets.","No, information related to financial assets is not presented.",Not applicable/other.
40,"Does the Executive’s Budget Proposal or any supporting budget documentation present information on nonfinancial assets held by the government? 

(The core information must include a listing of the assets by category.)","Yes, information beyond the core elements is presented for all nonfinancial assets.","Yes, the core information is presented for all nonfinancial assets.","Yes, information is presented, but it excludes some nonfinancial assets.","No, information related to nonfinancial assets is not presented.",Not applicable/other.
41,Does the Executive’s Budget Proposal or any supporting budget documentation present estimates of expenditure arrears for at least the budget year?,"Yes, estimates of all expenditure arrears are presented, along with a narrative discussion.","Yes, estimates of all expenditure arrears are presented, but a narrative discussion is not included.","Yes, estimates of some but not all expenditure arrears are presented.","No, estimates of expenditure arrears are not presented.",Not applicable/other.
42,"Does the Executive’s Budget Proposal or any supporting budget documentation present information on contingent liabilities, such as government loan guarantees or insurance programs?

(The core information must include a statement of purpose or policy rationale for each contingent liability; the new guarantees or insurance commitments proposed for the budget year; and the total amount of outstanding guarantees or insurance commitments (the gross exposure) at the end of the budget year.)","Yes, information beyond the core elements is presented for all contingent liabilities.","Yes, the core information is presented for all contingent liabilities.","Yes, information is presented, but it excludes some core elements or some contingent liabilities.","No, information related to contingent liabilities is not presented.",Not applicable/other.
43,"Does the Executive’s Budget Proposal or any supporting budget documentation present projections that assess the government’s future liabilities and the sustainability of its finances over the longer term?

(The core information must cover a period of at least 10 years and include the macroeconomic and demographic assumptions used and a discussion of the fiscal implications and risks highlighted by the projections.)","Yes, information beyond the core elements is presented to assess the government’s future liabilities and the sustainability of its finances over the longer term.","Yes, the core information is presented to assess the government’s future liabilities and the sustainability of its finances over the longer term.","Yes, information is presented, but it excludes some core elements.","No, information related to future liabilities and the sustainability of finances over the longer term is not presented.",Not applicable/other.
44,"Does the Executive’s Budget Proposal or any supporting budget documentation present estimates of the sources of donor assistance, both financial and in-kind?","Yes, estimates of all sources of donor assistance are presented, along with a narrative discussion.","Yes, estimates of all sources of donor assistance are presented, but a narrative discussion is not included.","Yes, estimates of some but not all sources of donor assistance are presented.","No, estimates of the sources of donor assistance are not presented.",Not applicable/other.
45,"Does the Executive’s Budget Proposal or any supporting budget documentation present information on tax expenditures for at least the budget year? 

(The core information must include a statement of purpose or policy rationale for each tax expenditure, the intended beneficiaries, and an estimate of the revenue foregone.)","Yes, information beyond the core elements is presented for all tax expenditures.","Yes, the core information is presented for all tax expenditures.","Yes, information is presented, but it excludes some core elements or some tax expenditures.","No, information related to tax expenditures is not presented.",Not applicable/other.
46,Does the Executive’s Budget Proposal or any supporting budget documentation present estimates of earmarked revenues?,"Yes, estimates of all earmarked revenues are presented, along with a narrative discussion.","Yes, estimates of all earmarked revenues are presented, but a narrative discussion is not included.","Yes, estimates of some but not all earmarked revenues are presented.","No, estimates of earmarked revenues are not presented.",Not applicable/other.
47,Does the Executive’s Budget Proposal or any supporting budget documentation present information on how the proposed budget (both new proposals and existing policies) is linked to government’s policy goals for the budget year?,"Yes, estimates that show how the proposed budget is linked to all the government’s policy goals for the budget year are presented, along with a narrative discussion.","Yes, estimates that show how the proposed budget is linked to all the government’s policy goals for the budget year are presented, but a narrative discussion is not included.","Yes, information that shows how the proposed budget is linked to some but not all of the government’s policy goals for the budget year is presented.","No, information on the link between the budget and the government’s stated policy goals for the budget year is not presented.",Not applicable/other.
48,Does the Executive’s Budget Proposal or any supporting budget documentation present information on how the proposed budget (both new proposals and existing policies) is linked to government’s policy goals for a multi-year period (for at least two years beyond the budget year)?,"Yes, estimates that show how the proposed budget is linked to all the government’s policy goals for a multi-year period are presented, along with a narrative discussion.","Yes, estimates that show how the proposed budget is linked to all the government’s policy goals for a multi-year period are presented, but a narrative discussion is not included.","Yes, information that shows how the proposed budget is linked to some but not all of the government’s policy goals for a multi-year period is presented.","No, information on the link between the budget and the government’s stated policy goals for a multi-year period is not presented.",Not applicable/other.
49,Does the Executive’s Budget Proposal or any supporting budget documentation present nonfinancial data on inputs to be acquired for at least the budget year?,"Yes, nonfinancial data on inputs are provided for each program within all administrative units (or functions).","Yes, nonfinancial data on inputs are presented for all administrative units (or functions) but not for all (or any) programs.","Yes, nonfinancial data on inputs are presented for some programs and/or some administrative units (or functions).","No, nonfinancial data on inputs are not presented.",Not applicable/other.
50,Does the Executive’s Budget Proposal or any supporting budget documentation present nonfinancial data on results (in terms of outputs or outcomes) for at least the budget year?,"Yes, nonfinancial data on results are provided for each program within all administrative units (or functions).","Yes, nonfinancial data on results are presented for all administrative units (or functions) but not for all (or any) programs.","Yes, nonfinancial data on results are presented for some programs and/or some administrative units (or functions).","No, nonfinancial data on results are not presented.",Not applicable/other.
51,Are performance targets assigned to nonfinancial data on results in the Executive’s Budget Proposal or any supporting budget documentation?,"Yes, performance targets are assigned to all nonfinancial data on results.","Yes, performance targets are assigned to most nonfinancial data on results.","Yes, performance targets are assigned to some nonfinancial data on results.","No, performance targets are not assigned to nonfinancial data on results, or the budget does not present nonfinancial data on results.",Not applicable/other.
52,Does the Executive’s Budget Proposal or any supporting budget documentation present estimates of policies (both new proposals and existing policies) that are intended to benefit directly the country’s most impoverished populations in at least the budget year?,"Yes, estimates of all policies that are intended to benefit directly the country’s most impoverished populations are presented, along with a narrative discussion.","Yes, estimates of all policies that are intended to benefit directly the country’s most impoverished populations are presented, but a narrative discussion is not included.","Yes, estimates of some but not all policies that are intended to benefit directly the country’s most impoverished populations are presented.","No, estimates of policies that are intended to benefit directly the country’s most impoverished populations are not presented.",Not applicable/other.
53,"Does the executive release to the public its timetable for formulating the Executive’s Budget Proposal (that is, a document setting deadlines for submissions from other government entities, such as line ministries or subnational government, to the Ministry of Finance or whatever central government agency is in charge of coordinating the budget’s formulation)?","Yes, a detailed timetable is released to the public.","Yes, a timetable is released, but some details are excluded.","Yes, a timetable is released, but it lacks important details.","No, a timetable is not issued to the public.",Not applicable/other.
54,"Does the Pre-Budget Statement present information on the macroeconomic forecast upon which the budget projections are based? 

(The core information must include a discussion of the economic outlook with estimates of nominal GDP level, inflation rate, real GDP growth, and interest rates.)","Yes, information beyond the core elements is presented for the macroeconomic forecast.","Yes, the core information is presented for the macroeconomic forecast.","Yes, information is presented, but it excludes some core elements.","No, information related to the macroeconomic forecast is not presented.",Not applicable/other.
55,"Does the Pre-Budget Statement present information on the government’s expenditure policies and priorities that will guide the development of detailed estimates for the upcoming budget?

(The core information must include a discussion of expenditure policies and priorities and an estimate of total expenditures.)","Yes, information beyond the core elements is presented for the government’s expenditure policies and priorities.","Yes, the core information is presented for the government’s expenditure policies and priorities.","Yes, information is presented, but it excludes some core elements.","No, information related to the government’s expenditure policies and priorities is not presented.",Not applicable/other.
56,"Does the Pre-Budget Statement present information on the government’s revenue policies and priorities that will guide the development of detailed estimates for the upcoming budget?

(The core information must include a discussion of revenue policies and priorities and an estimate of total revenues.)","Yes, information beyond the core elements is presented for the government’s revenue policies and priorities.","Yes, the core information is presented for the government’s revenue policies and priorities.","Yes, information is presented, but it excludes some core elements.","No, information related to the government’s revenue policies and priorities is not presented.",Not applicable/other.
57,Does Pre-Budget Statement present three estimates related to government borrowing and debt: the amount of net new borrowing required during the budget year; the total debt outstanding at the end of the budget year; and interest payments on the debt for the budget year?,"Yes, all three estimates related to government borrowing and debt are presented.","Yes, two of the three estimates related to government borrowing and debt are presented.","Yes, one of the three estimates related to government borrowing and debt are presented.","No, none of the three estimates related to government borrowing and debt are not presented.",Not applicable/other.
58,Does the Pre-Budget Statement present estimates of total expenditures for a multi-year period (at least two-years beyond the budget year)?,"Yes, multi-year expenditure estimates are presented.","No, multi-year expenditure estimates are not presented.",Not applicable/other.,,
59,"Does the Enacted Budget present expenditure estimates by any of the three expenditure classifications (by administrative, economic, or functional classification)?","Yes, the Enacted Budget presents expenditure estimates by all three expenditure classifications (by administrative, economic, and functional classification).","Yes, the Enacted Budget presents expenditure estimates by two of the three expenditure classifications.","Yes, the Enacted Budget presents expenditure estimates by only one of the three expenditure classifications.","No, the Enacted Budget does not present expenditure estimates by any expenditure classification.",Not applicable/other.
60,Does the Enacted Budget present expenditure estimates for individual programs?,"Yes, the Enacted Budget presents estimates for programs accounting for all expenditures.","Yes, the Enacted Budget presents estimates for programs accounting for at least two-thirds of, but not all, expenditures.","Yes, the Enacted Budget presents estimates for programs accounting for less than two-thirds of expenditures.","No, the Enacted Budget does not present expenditure estimates by program.",Not applicable/other.
61,Does the Enacted Budget present revenue estimates by category (such as tax and non-tax)?,"Yes, the Enacted Budget presents revenue estimates by category.","No, the Enacted Budget does not present revenue estimates by category.",Not applicable/other.,,
62,Does the Enacted Budget present individual sources of revenue?,"Yes, the Enacted Budget presents individual sources of revenue accounting for all revenue.","Yes, the Enacted Budget presents individual sources of revenue accounting for at least two-thirds of, but not all, revenue.","Yes, the Enacted Budget presents individual sources of revenue accounting for less than two-thirds of all revenues.","No, the Enacted Budget does not present individual sources of revenue.",Not applicable/other.
63,Does the Enacted Budget present three estimates related to government borrowing and debt: the amount of net new borrowing required during the budget year; the total debt outstanding at the end of the budget year; and interest payments on the debt for the budget year?,"Yes, all three estimates related to government borrowing and debt are presented.","Yes, two of the three estimates related to government borrowing and debt are presented.","Yes, one of the three estimates related to government borrowing and debt are presented.","No, none of the three estimates related to government borrowing and debt are not presented.",Not applicable/other.
64,"What information is provided in the Citizens Budget? 

(The core information must include expenditure and revenue totals, the main policy initiatives in the budget, the macroeconomic forecast upon which the budget is based, and contact information for follow-up by citizens.)",The Citizens Budget provides information beyond the core elements.,The Citizens Budget provides the core information.,"The Citizens Budget provides information, but it excludes some core elements.",The Citizens Budget is not published.,Not applicable/other.
65,How is the Citizens Budget disseminated to the public?,"A Citizens Budget is disseminated widely through a combination of at least three different appropriate tools and media (such as the Internet, billboards, radio programs, newspapers, etc.).","A Citizens Budget is published by using at least two, but less than three, means of dissemination, but no other dissemination efforts are undertaken by the executive.",A Citizens Budget is disseminated only by using one means of dissemination.,A Citizens Budget is not published.,Not applicable/other.
66,Has the executive established mechanisms to identify the public’s requirements for budget information prior to publishing the Citizens Budget?,"Yes, the executive has established mechanisms to identify the public’s requirements for budget information in the Citizen’s Budget, and these mechanisms are accessible and widely used by the public.","Yes, the executive has established mechanisms to identify the public’s requirements for budget information in the Citizen’s Budget; while these mechanisms are accessible they are not widely used by the public.","Yes, the executive has established mechanisms to identify the public’s requirements for budget information in the Citizen’s Budget, but these mechanisms are not accessible.","No, the executive has not established any mechanisms to identify the public’s requirements for budget information in the Citizen’s Budget.",Not applicable/other.
67,Are “citizens” versions of budget documents published throughout the budget process?,"A citizens version of budget documents is published for each of the four stages of the budget process (budget formulation, enactment, execution, and audit).",A citizens version of budget documents is published for at least two of the four stages of the budget process.,A citizens version of budget documents is published for at least one stage of the budget process.,No citizens version of budget documents is published.,Not applicable/other.
68,"Do the In-Year Reports present actual expenditures by any of the three expenditure classifications (by administrative, economic, or functional classification)?","Yes, the In-Year Reports present actual expenditures by all three expenditure classifications (by administrative, economic, and functional classification).","Yes, the In-Year Reports present actual expenditures by two of the three expenditure classifications.","Yes, the In-Year Reports present actual expenditures by only one of the three expenditure classifications.","No, the In-Year Reports do not present actual expenditures by any expenditure classification.",Not applicable/other.
69,Do the In-Year Reports present actual expenditures for individual programs?,"Yes, the In-Year Reports present actual expenditures for programs accounting for all expenditures.","Yes, the In-Year Reports present actual expenditures for programs accounting for at least two-thirds of, but not all, expenditures.","Yes, the In-Year Reports present actual expenditures for programs accounting for less than two-thirds of expenditures.","No, the In-Year Reports do not present actual expenditures by program.",Not applicable/other.
70,Do the In-Year Reports compare actual year-to-date expenditures with either the original estimate for that period (based on the enacted budget) or the same period in the previous year?,"Yes, comparisons are made for expenditures presented in the In-Year Reports.","No, comparisons are not made for expenditures presented in the In-Year Reports.",Not applicable/other.,,
71,Do In-Year Reports present actual revenue by category (such as tax and non-tax)?,"Yes, In-Year Reports present actual revenue by category.","No, In-Year Reports do not present actual revenue by category.",Not applicable/other.,,
72,Do In-Year Reports present the individual sources of revenue for actual revenues collected?,"Yes, In-Year Reports present individual sources of actual revenue accounting for all revenue.","Yes, In-Year Reports present individual sources of actual revenue accounting for at least two-thirds of, but not all, revenue.","Yes, In-Year Reports present individual sources of actual revenue accounting for less than two-thirds of all revenue.","No, In-Year Reports do not present individual sources of actual revenue.",Not applicable/other.
73,Do the In-Year Reports compare actual year-to-date revenues with either the original estimate for that period (based on the enacted budget) or the same period in the previous year?,"Yes, comparisons are made for revenues presented in the In-Year Reports.","No, comparisons are not made for revenues presented in the In-Year Reports.",Not applicable/other.,,
74,Do In-Year Reports present three estimates related to actual government borrowing and debt: the amount of net new borrowing; the total debt outstanding; and interest payments?,"Yes, all three estimates related to government borrowing and debt are presented.","Yes, two of the three estimates related to government borrowing and debt are presented.","Yes, one of the three estimates related to government borrowing and debt are presented.","No, none of the three estimates related to government borrowing and debt are not presented.",Not applicable/other.
75,"Do In-Year Reports present information related to the composition of the total actual debt outstanding?

(The core information must include interest rates on the debt instruments; maturity profile of the debt; and whether it is domestic or external debt.)","Yes, information beyond the core elements is presented for the composition of the total actual debt outstanding.","Yes, the core information is presented for the composition of the total actual debt outstanding.","Yes, information is presented, but it excludes some core elements.","No, information related to composition of total actual debt outstanding is not presented.",Not applicable/other.
76,Does the Mid-Year Review of the budget include an updated macroeconomic forecast for the budget year underway?,"Yes, the estimates for the macroeconomic forecast have been updated, and an explanation of all of the differences between the original and updated forecasts is presented.","Yes, the estimates for macroeconomic forecast have been updated, and an explanation of some of the differences between the original and updated forecasts is presented.","Yes, the estimates for macroeconomic forecast have been updated, but an explanation of the differences between the original and updated forecast is not presented.","No, the estimates for macroeconomic forecast have not been updated.",Not applicable/other.
